,"CO2 emissions, North America, Annual (million metric tonnes carbon dioxide)"
1990  ,5264.55059579
1991  ,5269.588436393
1992  ,5455.67567074
1993  ,5712.176087521
1994  ,5827.204978896
1995  ,5757.176053728
1996  ,5722.908496345
1997  ,5849.356501012
1998  ,5953.972079298
1999  ,6073.92894606
2000  ,6124.21469232
2001  ,6334.342635967
2002  ,6431.285430059
2003  ,6503.038856983
2004  ,6577.187163262
2005  ,6771.306959065
2006  ,6684.063722774
2007  ,6744.674606398
2008  ,6839.776247553
2009  ,6973.069313827
2010  ,7008.754878988
2011  ,6943.430516288
2012  ,7042.220682181
2013  ,6834.085118929
2014  ,6391.314542878
2015  ,6617.803548377
2016  ,6496.905937878
2017  ,6282.836081936
2018  ,6424.731330956
2019  ,6468.127089239
2020  ,6336.860298868
2021  ,6241.322192782
2022  ,6215.118995403
2023  ,6381.23607322
