,"U.S. nuclear capacity, daily (Megawatts)"
2007 0101 01,101764.9
2007 0102 02,101764.9
2007 0103 03,101764.9
2007 0104 04,101764.9
2007 0105 05,101764.9
2007 0106 06,101764.9
2007 0107 07,101764.9
2007 0108 08,101764.9
2007 0109 09,101764.9
2007 0110 10,101764.9
2007 0111 11,101764.9
2007 0112 12,101764.9
2007 0113 13,101764.9
2007 0114 14,101764.9
2007 0115 15,101764.9
2007 0116 16,101764.9
2007 0117 17,101764.9
2007 0118 18,101764.9
2007 0119 19,101764.9
2007 0120 20,101764.9
2007 0121 21,101764.9
2007 0122 22,101764.9
2007 0123 23,101764.9
2007 0124 24,101764.9
2007 0125 25,101764.9
2007 0126 26,101764.9
2007 0127 27,101764.9
2007 0128 28,101764.9
2007 0129 29,101764.9
2007 0130 30,101764.9
2007 0131 31,101764.9
2007 0201 01,101764.9
2007 0202 02,101764.9
2007 0203 03,101764.9
2007 0204 04,101764.9
2007 0205 05,101764.9
2007 0206 06,101764.9
2007 0207 07,101764.9
2007 0208 08,101764.9
2007 0209 09,101764.9
2007 0210 10,101764.9
2007 0211 11,101764.9
2007 0212 12,101764.9
2007 0213 13,101764.9
2007 0214 14,101764.9
2007 0215 15,101764.9
2007 0216 16,101764.9
2007 0217 17,101764.9
2007 0218 18,101764.9
2007 0219 19,101764.9
2007 0220 20,101764.9
2007 0221 21,101764.9
2007 0222 22,101764.9
2007 0223 23,101764.9
2007 0224 24,101764.9
2007 0225 25,101764.9
2007 0226 26,101764.9
2007 0227 27,101764.9
2007 0228 28,101764.9
2007 0301 01,101764.9
2007 0302 02,101764.9
2007 0303 03,101764.9
2007 0304 04,101764.9
2007 0305 05,101764.9
2007 0306 06,101764.9
2007 0307 07,101764.9
2007 0308 08,101764.9
2007 0309 09,101764.9
2007 0310 10,101764.9
2007 0311 11,101764.9
2007 0312 12,101764.9
2007 0313 13,101764.9
2007 0314 14,101764.9
2007 0315 15,101764.9
2007 0316 16,101764.9
2007 0317 17,101764.9
2007 0318 18,101764.9
2007 0319 19,101764.9
2007 0320 20,101764.9
2007 0321 21,101764.9
2007 0322 22,101764.9
2007 0323 23,101764.9
2007 0324 24,101764.9
2007 0325 25,101764.9
2007 0326 26,101764.9
2007 0327 27,101764.9
2007 0328 28,101764.9
2007 0329 29,101764.9
2007 0330 30,101764.9
2007 0331 31,101764.9
2007 0401 01,100265.7
2007 0402 02,100265.7
2007 0403 03,100265.7
2007 0404 04,100265.7
2007 0405 05,100265.7
2007 0406 06,100265.7
2007 0407 07,100265.7
2007 0408 08,100265.7
2007 0409 09,100265.7
2007 0410 10,100265.7
2007 0411 11,100265.7
2007 0412 12,100265.7
2007 0413 13,100265.7
2007 0414 14,100265.7
2007 0415 15,100265.7
2007 0416 16,100265.7
2007 0417 17,100265.7
2007 0418 18,100265.7
2007 0419 19,100265.7
2007 0420 20,100265.7
2007 0421 21,100265.7
2007 0422 22,100265.7
2007 0423 23,100265.7
2007 0424 24,100265.7
2007 0425 25,100265.7
2007 0426 26,100265.7
2007 0427 27,100265.7
2007 0428 28,100265.7
2007 0429 29,100265.7
2007 0430 30,100265.7
2007 0501 01,100265.7
2007 0502 02,100265.7
2007 0503 03,100265.7
2007 0504 04,100265.7
2007 0505 05,100265.7
2007 0506 06,100265.7
2007 0507 07,100265.7
2007 0508 08,100265.7
2007 0509 09,100265.7
2007 0510 10,100265.7
2007 0511 11,100265.7
2007 0512 12,100265.7
2007 0513 13,100265.7
2007 0514 14,100265.7
2007 0515 15,100265.7
2007 0516 16,100265.7
2007 0517 17,100265.7
2007 0518 18,100265.7
2007 0519 19,100265.7
2007 0520 20,100265.7
2007 0521 21,100265.7
2007 0522 22,100265.7
2007 0523 23,100265.7
2007 0524 24,100265.7
2007 0525 25,100265.7
2007 0526 26,100265.7
2007 0527 27,100265.7
2007 0528 28,100265.7
2007 0529 29,100265.7
2007 0530 30,100265.7
2007 0531 31,100265.7
2007 0601 01,100265.7
2007 0602 02,100265.7
2007 0603 03,100265.7
2007 0604 04,100265.7
2007 0605 05,100265.7
2007 0606 06,100265.7
2007 0607 07,100265.7
2007 0608 08,100265.7
2007 0609 09,100265.7
2007 0610 10,100265.7
2007 0611 11,100265.7
2007 0612 12,100265.7
2007 0613 13,100265.7
2007 0614 14,100265.7
2007 0615 15,100265.7
2007 0616 16,100265.7
2007 0617 17,100265.7
2007 0618 18,100265.7
2007 0619 19,100265.7
2007 0620 20,100265.7
2007 0621 21,100265.7
2007 0622 22,100265.7
2007 0623 23,100265.7
2007 0624 24,100265.7
2007 0625 25,100265.7
2007 0626 26,100265.7
2007 0627 27,100265.7
2007 0628 28,100265.7
2007 0629 29,100265.7
2007 0630 30,100265.7
2007 0701 01,100265.7
2007 0702 02,100265.7
2007 0703 03,100265.7
2007 0704 04,100265.7
2007 0705 05,100265.7
2007 0706 06,100265.7
2007 0707 07,100265.7
2007 0708 08,100265.7
2007 0709 09,100265.7
2007 0710 10,100265.7
2007 0711 11,100265.7
2007 0712 12,100265.7
2007 0713 13,100265.7
2007 0714 14,100265.7
2007 0715 15,100265.7
2007 0716 16,100265.7
2007 0717 17,100265.7
2007 0718 18,100265.7
2007 0719 19,100265.7
2007 0720 20,100265.7
2007 0721 21,100265.7
2007 0722 22,100265.7
2007 0723 23,100265.7
2007 0724 24,100265.7
2007 0725 25,100265.7
2007 0726 26,100265.7
2007 0727 27,100265.7
2007 0728 28,100265.7
2007 0729 29,100265.7
2007 0730 30,100265.7
2007 0731 31,100265.7
2007 0801 01,100265.7
2007 0802 02,100265.7
2007 0803 03,100265.7
2007 0804 04,100265.7
2007 0805 05,100265.7
2007 0806 06,100265.7
2007 0807 07,100265.7
2007 0808 08,100265.7
2007 0809 09,100265.7
2007 0810 10,100265.7
2007 0811 11,100265.7
2007 0812 12,100265.7
2007 0813 13,100265.7
2007 0814 14,100265.7
2007 0815 15,100265.7
2007 0816 16,100265.7
2007 0817 17,100265.7
2007 0818 18,100265.7
2007 0819 19,100265.7
2007 0820 20,100265.7
